Rule: ('otc alterations permit', '2.0') ==> ('St',)	 , confidence: 0.752,lift: 1.081
Rule: ('issued', '2.0', 'St') ==> ('8',)	 , confidence: 0.851,lift: 0.946
Rule: ('issued', '2.0', 'St') ==> ('otc alterations permit',)	 , confidence: 0.851,lift: 0.946
Rule: ('issued', '2.0', 'St') ==> ('', 'otc alterations permit')	 , confidence: 0.851,lift: 0.946
Rule: ('', 'issued', '2.0', 'St') ==> ('otc alterations permit',)	 , confidence: 0.851,lift: 0.946
Rule: ('issued', '2.0', 'St') ==> ('', '8')	 , confidence: 0.851,lift: 0.946
Rule: ('', 'issued', '2.0', 'St') ==> ('8',)	 , confidence: 0.851,lift: 0.946
Rule: ('issued', '2.0', 'St') ==> ('otc alterations permit', '8')	 , confidence: 0.851,lift: 1.000
Rule: ('issued', '2.0', 'St') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.851,lift: 1.000
Rule: ('', 'issued', '2.0', 'St') ==> ('otc alterations permit', '8')	 , confidence: 0.851,lift: 1.000
Rule: ('otc alterations permit', '1.0', 'St') ==> ('2.0',)	 , confidence: 0.853,lift: 1.493
Rule: ('8', '1.0', 'St') ==> ('2.0',)	 , confidence: 0.853,lift: 1.493
Rule: ('otc alterations permit', '1.0', 'St') ==> ('', '2.0')	 , confidence: 0.853,lift: 1.493
Rule: ('', 'otc alterations permit', '1.0', 'St') ==> ('2.0',)	 , confidence: 0.853,lift: 1.493
Rule: ('8', '1.0', 'St') ==> ('', '2.0')	 , confidence: 0.853,lift: 1.493
Rule: ('', '8', '1.0', 'St') ==> ('2.0',)	 , confidence: 0.853,lift: 1.493
Rule: ('otc alterations permit', '1.0', 'St') ==> ('8', '2.0')	 , confidence: 0.853,lift: 1.798
Rule: ('8', '1.0', 'St') ==> ('otc alterations permit', '2.0')	 , confidence: 0.853,lift: 1.798
Rule: ('otc alterations permit', '1.0', '8', 'St') ==> ('2.0',)	 , confidence: 0.853,lift: 1.493
Rule: ('otc alterations permit', '1.0', 'St') ==> ('', '8', '2.0')	 , confidence: 0.853,lift: 1.798
Rule: ('8', '1.0', 'St') ==> ('', 'otc alterations permit', '2.0')	 , confidence: 0.853,lift: 1.798
Rule: ('', 'otc alterations permit', '1.0', 'St') ==> ('8', '2.0')	 , confidence: 0.853,lift: 1.798
Rule: ('', '8', '1.0', 'St') ==> ('otc alterations permit', '2.0')	 , confidence: 0.853,lift: 1.798
Rule: ('otc alterations permit', '1.0', '8', 'St') ==> ('', '2.0')	 , confidence: 0.853,lift: 1.493
Rule: ('', 'otc alterations permit', '1.0', '8', 'St') ==> ('2.0',)	 , confidence: 0.853,lift: 1.493
Rule: ('5.0', '8', 'issued') ==> ('wood frame (5)',)	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', 'issued', 'otc alterations permit') ==> ('wood frame (5)',)	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', 'otc alterations permit', 'issued') ==> ('', 'wood frame (5)')	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', '', 'issued', 'otc alterations permit') ==> ('wood frame (5)',)	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', 'otc alterations permit', 'issued') ==> ('8', 'wood frame (5)')	 , confidence: 0.855,lift: 1.662
Rule: ('5.0', 'issued', '8') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.855,lift: 1.662
Rule: ('5.0', 'otc alterations permit', '8', 'issued') ==> ('wood frame (5)',)	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', 'issued', '8') ==> ('', 'wood frame (5)')	 , confidence: 0.855,lift: 1.468
Rule: ('', '5.0', '8', 'issued') ==> ('wood frame (5)',)	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', 'issued', 'otc alterations permit') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.855,lift: 1.662
Rule: ('5.0', 'issued', '8') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.855,lift: 1.662
Rule: ('5.0', '', 'otc alterations permit', 'issued') ==> ('8', 'wood frame (5)')	 , confidence: 0.855,lift: 1.662
Rule: ('5.0', '', '8', 'issued') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.855,lift: 1.662
Rule: ('5.0', 'issued', '8', 'otc alterations permit') ==> ('', 'wood frame (5)')	 , confidence: 0.855,lift: 1.468
Rule: ('5.0', '', 'otc alterations permit', '8', 'issued') ==> ('wood frame (5)',)	 , confidence: 0.855,lift: 1.468
Rule: ('8', '2.0', '1.0') ==> ('constr type 1',)	 , confidence: 0.858,lift: 5.867
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('constr type 1',)	 , confidence: 0.858,lift: 5.867
Rule: ('8', '2.0', '1.0') ==> ('', 'constr type 1')	 , confidence: 0.858,lift: 5.867
Rule: ('', '8', '2.0', '1.0') ==> ('constr type 1',)	 , confidence: 0.858,lift: 5.867
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('', 'constr type 1')	 , confidence: 0.858,lift: 5.867
Rule: ('', 'otc alterations permit', '2.0', '1.0') ==> ('constr type 1',)	 , confidence: 0.858,lift: 5.867
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('8', 'constr type 1')	 , confidence: 0.858,lift: 6.613
Rule: ('8', '2.0', '1.0') ==> ('otc alterations permit', 'constr type 1')	 , confidence: 0.858,lift: 6.613
Rule: ('otc alterations permit', '2.0', '1.0', '8') ==> ('constr type 1',)	 , confidence: 0.858,lift: 5.867
Rule: ('otc alterations permit', '2.0', '1.0') ==> ('', '8', 'constr type 1')	 , confidence: 0.858,lift: 6.613
Rule: ('8', '2.0', '1.0') ==> ('', 'otc alterations permit', 'constr type 1')	 , confidence: 0.858,lift: 6.613
Rule: ('', 'otc alterations permit', '2.0', '1.0') ==> ('8', 'constr type 1')	 , confidence: 0.858,lift: 6.613
Rule: ('', '8', '2.0', '1.0') ==> ('otc alterations permit', 'constr type 1')	 , confidence: 0.858,lift: 6.613
Rule: ('otc alterations permit', '2.0', '1.0', '8') ==> ('', 'constr type 1')	 , confidence: 0.858,lift: 5.867
Rule: ('', 'otc alterations permit', '2.0', '1.0', '8') ==> ('constr type 1',)	 , confidence: 0.858,lift: 5.867
Rule: ('3.0',) ==> ('St',)	 , confidence: 0.861,lift: 1.237
Rule: ('3.0',) ==> ('', 'St')	 , confidence: 0.861,lift: 1.238
Rule: ('', '3.0') ==> ('St',)	 , confidence: 0.861,lift: 1.237
Rule: ('2.0', '3.0') ==> ('St',)	 , confidence: 0.864,lift: 1.242
Rule: ('2.0', '3.0') ==> ('', 'St')	 , confidence: 0.864,lift: 1.242
Rule: ('', '2.0', '3.0') ==> ('St',)	 , confidence: 0.864,lift: 1.242
Rule: ('5.0', '2.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.865,lift: 1.680
Rule: ('5.0', '2.0', 'complete', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.865,lift: 1.680
Rule: ('5.0', '2.0', 'complete', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.865,lift: 1.680
Rule: ('5.0', '', '2.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.865,lift: 1.680
Rule: ('5.0', '2.0', 'complete', 'St') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.865,lift: 1.680
Rule: ('5.0', '', '2.0', 'complete', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.865,lift: 1.680
Rule: ('5.0', '2.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.865,lift: 1.000
Rule: ('5.0', '2.0', 'complete', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.865,lift: 1.000
Rule: ('5.0', '', '2.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.865,lift: 1.000
Rule: ('1.0', 'St') ==> ('2.0',)	 , confidence: 0.866,lift: 1.515
Rule: ('1.0', 'St') ==> ('', '2.0')	 , confidence: 0.866,lift: 1.515
Rule: ('', '1.0', 'St') ==> ('2.0',)	 , confidence: 0.866,lift: 1.515
Rule: ('5.0', '2.0', 'complete') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.685
Rule: ('5.0', '2.0', 'complete') ==> ('8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.685
Rule: ('5.0', '2.0', 'complete') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('5.0', '2.0', 'complete') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.685
Rule: ('', '5.0', '2.0', 'complete') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.685
Rule: ('5.0', '2.0', 'complete') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.685
Rule: ('', '5.0', '2.0', 'complete') ==> ('8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.685
Rule: ('5.0', '2.0', 'complete') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('5.0', '', '2.0', 'complete') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('0.0', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('', '0.0', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('0.0', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('', '0.0', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('', '0.0', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('0.0', 'St') ==> ('5.0', '', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('', '0.0', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('', '5.0', 'wood frame (5)', 'otc alterations permit')	 , confidence: 0.867,lift: 1.000
Rule: ('', '0.0', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.867,lift: 1.686
Rule: ('0.0', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('0.0', 'St') ==> ('', '5.0', 'wood frame (5)', '8', 'otc alterations permit')	 , confidence: 0.867,lift: 1.000
Rule: ('', '0.0', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.867,lift: 1.000
Rule: ('otc alterations permit', '3.0') ==> ('St',)	 , confidence: 0.867,lift: 1.247
Rule: ('8', '3.0') ==> ('St',)	 , confidence: 0.867,lift: 1.247
Rule: ('otc alterations permit', '3.0') ==> ('8', 'St')	 , confidence: 0.867,lift: 1.387
Rule: ('8', '3.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.867,lift: 1.387
Rule: ('otc alterations permit', '3.0', '8') ==> ('St',)	 , confidence: 0.867,lift: 1.247
Rule: ('8', '3.0') ==> ('', 'St')	 , confidence: 0.867,lift: 1.247
Rule: ('', '8', '3.0') ==> ('St',)	 , confidence: 0.867,lift: 1.247
Rule: ('otc alterations permit', '3.0') ==> ('', 'St')	 , confidence: 0.867,lift: 1.247
Rule: ('', 'otc alterations permit', '3.0') ==> ('St',)	 , confidence: 0.867,lift: 1.247
Rule: ('otc alterations permit', '3.0') ==> ('', '8', 'St')	 , confidence: 0.867,lift: 1.387
Rule: ('8', '3.0') ==> ('', 'otc alterations permit', 'St')	 , confidence: 0.867,lift: 1.387
Rule: ('', 'otc alterations permit', '3.0') ==> ('8', 'St')	 , confidence: 0.867,lift: 1.387
Rule: ('', '8', '3.0') ==> ('otc alterations permit', 'St')	 , confidence: 0.867,lift: 1.387
Rule: ('otc alterations permit', '3.0', '8') ==> ('', 'St')	 , confidence: 0.867,lift: 1.247
Rule: ('', 'otc alterations permit', '3.0', '8') ==> ('St',)	 , confidence: 0.867,lift: 1.247
Rule: ('5.0', 'issued') ==> ('wood frame (5)',)	 , confidence: 0.868,lift: 1.490
Rule: ('5.0', 'issued') ==> ('', 'wood frame (5)')	 , confidence: 0.868,lift: 1.490
Rule: ('5.0', '', 'issued') ==> ('wood frame (5)',)	 , confidence: 0.868,lift: 1.490
Rule: ('2.0', '1.0') ==> ('otc alterations permit',)	 , confidence: 0.869,lift: 0.966
Rule: ('2.0', '1.0') ==> ('8',)	 , confidence: 0.869,lift: 0.966
Rule: ('2.0', '1.0') ==> ('', '8')	 , confidence: 0.869,lift: 0.966
Rule: ('', '2.0', '1.0') ==> ('8',)	 , confidence: 0.869,lift: 0.966
Rule: ('2.0', '1.0') ==> ('', 'otc alterations permit')	 , confidence: 0.869,lift: 0.966
Rule: ('', '2.0', '1.0') ==> ('otc alterations permit',)	 , confidence: 0.869,lift: 0.966
Rule: ('2.0', '1.0') ==> ('otc alterations permit', '8')	 , confidence: 0.869,lift: 1.000
Rule: ('2.0', '1.0') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.869,lift: 1.000
Rule: ('', '2.0', '1.0') ==> ('otc alterations permit', '8')	 , confidence: 0.869,lift: 1.000
Rule: ('5.0', 'Av') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.870,lift: 1.691
Rule: ('5.0', 'Av') ==> ('8', 'wood frame (5)')	 , confidence: 0.870,lift: 1.691
Rule: ('5.0', 'Av') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.870,lift: 1.691
Rule: ('', '5.0', 'Av') ==> ('8', 'wood frame (5)')	 , confidence: 0.870,lift: 1.691
Rule: ('5.0', 'Av') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.870,lift: 1.691
Rule: ('5.0', '', 'Av') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.870,lift: 1.691
Rule: ('5.0', 'Av') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.870,lift: 1.000
Rule: ('5.0', 'Av') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.870,lift: 1.000
Rule: ('', '5.0', 'Av') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.870,lift: 1.000
Rule: ('0.0', 'St') ==> ('wood frame (5)',)	 , confidence: 0.876,lift: 1.505
Rule: ('0.0', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.876,lift: 1.505
Rule: ('', '0.0', 'St') ==> ('wood frame (5)',)	 , confidence: 0.876,lift: 1.505
Rule: ('0.0', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.876,lift: 1.505
Rule: ('0.0', 'St') ==> ('', '5.0', 'wood frame (5)')	 , confidence: 0.876,lift: 1.000
Rule: ('', '0.0', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.876,lift: 1.505
Rule: ('0.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('', '0.0', 'complete', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('', '0.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.876,lift: 1.000
Rule: ('0.0', 'complete', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('5.0', '', 'wood frame (5)', '8')	 , confidence: 0.876,lift: 1.000
Rule: ('', '0.0', 'complete', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('', '5.0', 'wood frame (5)', 'otc alterations permit')	 , confidence: 0.876,lift: 1.000
Rule: ('', '0.0', 'complete', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.876,lift: 1.704
Rule: ('0.0', 'complete', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.876,lift: 1.000
Rule: ('0.0', 'complete', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.876,lift: 1.000
Rule: ('', '0.0', 'complete', 'St') ==> ('otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.876,lift: 1.000
Rule: ('0.0', 'complete', 'St') ==> ('5.0', '', 'wood frame (5)', '8', 'otc alterations permit')	 , confidence: 0.876,lift: 1.000
Rule: ('', '0.0', 'complete', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)', '8')	 , confidence: 0.876,lift: 1.000
Rule: ('issued', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('8',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('', '8')	 , confidence: 0.877,lift: 0.975
Rule: ('', 'issued', 'wood frame (5)') ==> ('8',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('', 'otc alterations permit')	 , confidence: 0.877,lift: 0.975
Rule: ('', 'issued', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('5.0', '8')	 , confidence: 0.877,lift: 1.604
Rule: ('5.0', 'issued', 'wood frame (5)') ==> ('8',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('8', 'otc alterations permit')	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.877,lift: 1.604
Rule: ('5.0', 'issued', 'wood frame (5)') ==> ('otc alterations permit',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('5.0', '', 'otc alterations permit')	 , confidence: 0.877,lift: 1.000
Rule: ('5.0', 'issued', 'wood frame (5)') ==> ('', 'otc alterations permit')	 , confidence: 0.877,lift: 0.975
Rule: ('', 'issued', 'wood frame (5)') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.877,lift: 1.604
Rule: ('5.0', '', 'wood frame (5)', 'issued') ==> ('otc alterations permit',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('', 'issued', 'wood frame (5)') ==> ('otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('issued', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('5.0', 'issued', 'wood frame (5)') ==> ('otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('issued', 'wood frame (5)') ==> ('', '5.0', '8')	 , confidence: 0.877,lift: 1.604
Rule: ('', 'issued', 'wood frame (5)') ==> ('5.0', '8')	 , confidence: 0.877,lift: 1.604
Rule: ('5.0', 'issued', 'wood frame (5)') ==> ('', '8')	 , confidence: 0.877,lift: 0.975
Rule: ('', '5.0', 'wood frame (5)', 'issued') ==> ('8',)	 , confidence: 0.877,lift: 0.975
Rule: ('issued', 'wood frame (5)') ==> ('5.0', '', '8', 'otc alterations permit')	 , confidence: 0.877,lift: 1.000
Rule: ('5.0', 'issued', 'wood frame (5)') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('', 'issued', 'wood frame (5)') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('5.0', '', 'wood frame (5)', 'issued') ==> ('otc alterations permit', '8')	 , confidence: 0.877,lift: 1.000
Rule: ('otc alterations permit', 'St', '0.0') ==> ('wood frame (5)',)	 , confidence: 0.878,lift: 1.508
Rule: ('8', 'St', '0.0') ==> ('wood frame (5)',)	 , confidence: 0.878,lift: 1.508
Rule: ('otc alterations permit', '0.0', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('', '0.0', 'otc alterations permit', 'St') ==> ('wood frame (5)',)	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', 'otc alterations permit', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', 'otc alterations permit', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('0.0', '8', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('0.0', 'otc alterations permit', '8', 'St') ==> ('wood frame (5)',)	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', '8', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('', '0.0', '8', 'St') ==> ('wood frame (5)',)	 , confidence: 0.878,lift: 1.508
Rule: ('otc alterations permit', '0.0', 'St') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('0.0', '8', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('', '0.0', 'otc alterations permit', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('', '0.0', '8', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('otc alterations permit', '0.0', '8', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('', '0.0', 'otc alterations permit', '8', 'St') ==> ('wood frame (5)',)	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', '8', 'St') ==> ('5.0', '', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('', '0.0', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('otc alterations permit', '0.0', 'St') ==> ('', '5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.000
Rule: ('', '0.0', 'otc alterations permit', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', 'otc alterations permit', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('0.0', '8', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('0.0', 'otc alterations permit', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('0.0', 'otc alterations permit', 'St') ==> ('', '5.0', 'wood frame (5)', '8')	 , confidence: 0.878,lift: 1.000
Rule: ('0.0', '8', 'St') ==> ('', '5.0', 'wood frame (5)', 'otc alterations permit')	 , confidence: 0.878,lift: 1.000
Rule: ('', 'otc alterations permit', '0.0', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('', '0.0', '8', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.878,lift: 1.706
Rule: ('0.0', 'otc alterations permit', '8', 'St') ==> ('', '5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.000
Rule: ('', 'otc alterations permit', '0.0', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.878,lift: 1.508
Rule: ('6.0',) ==> ('otc alterations permit',)	 , confidence: 0.878,lift: 0.977
Rule: ('6.0',) ==> ('8',)	 , confidence: 0.878,lift: 0.977
Rule: ('6.0',) ==> ('', '8')	 , confidence: 0.878,lift: 0.977
Rule: ('', '6.0') ==> ('8',)	 , confidence: 0.878,lift: 0.977
Rule: ('6.0',) ==> ('', 'otc alterations permit')	 , confidence: 0.878,lift: 0.977
Rule: ('', '6.0') ==> ('otc alterations permit',)	 , confidence: 0.878,lift: 0.977
Rule: ('6.0',) ==> ('8', 'otc alterations permit')	 , confidence: 0.878,lift: 0.977
Rule: ('6.0',) ==> ('', 'otc alterations permit', '8')	 , confidence: 0.878,lift: 1.000
Rule: ('', '6.0') ==> ('otc alterations permit', '8')	 , confidence: 0.878,lift: 1.000
Rule: ('wood frame (5)', 'St') ==> ('8',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('otc alterations permit',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('5.0', 'otc alterations permit')	 , confidence: 0.879,lift: 1.609
Rule: ('5.0', 'wood frame (5)', 'St') ==> ('otc alterations permit',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('5.0', '8')	 , confidence: 0.879,lift: 1.609
Rule: ('5.0', 'wood frame (5)', 'St') ==> ('8',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('otc alterations permit', '8')	 , confidence: 0.879,lift: 1.000
Rule: ('wood frame (5)', 'St') ==> ('', 'otc alterations permit')	 , confidence: 0.879,lift: 0.978
Rule: ('', 'wood frame (5)', 'St') ==> ('otc alterations permit',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('', '8')	 , confidence: 0.879,lift: 0.978
Rule: ('', 'wood frame (5)', 'St') ==> ('8',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('5.0', '', '8')	 , confidence: 0.879,lift: 1.000
Rule: ('5.0', 'wood frame (5)', 'St') ==> ('', '8')	 , confidence: 0.879,lift: 0.978
Rule: ('', 'wood frame (5)', 'St') ==> ('5.0', '8')	 , confidence: 0.879,lift: 1.609
Rule: ('5.0', '', 'wood frame (5)', 'St') ==> ('8',)	 , confidence: 0.879,lift: 0.978
Rule: ('wood frame (5)', 'St') ==> ('5.0', 'otc alterations permit', '8')	 , confidence: 0.879,lift: 1.000
Rule: ('5.0', 'wood frame (5)', 'St') ==> ('otc alterations permit', '8')	 , confidence: 0.879,lift: 1.000
Rule: ('wood frame (5)', 'St') ==> ('', 'otc alterations permit', '8')	 , confidence: 0.879,lift: 1.000
Rule: ('', 'wood frame (5)', 'St') ==> ('otc alterations permit', '8')	 , confidence: 0.879,lift: 1.000
Rule: ('wood frame (5)', 'St') ==> ('5.0', '', 'otc alterations permit')	 , confidence: 0.879,lift: 1.000
